reference_num,organization,address,classification,start_date,end_date,status,remarks,category
8102,TABUNG PENGURUSAN RUMAH IBADAT GEREJA PRESBYTERIAN HOLY LIGHT,11 JALAN GERTAK MERAH 80000 JOHOR BAHRU JOHOR,TABUNG PENGURUSAN RUMAH IBADAT (TPRI),2016-04-15,2025-12-31,rejected,,Religious Organizations
8102,TABUNG PENGURUSAN RUMAH IBADAT GEREJA PRESBYTERIAN HOLY LIGHT,11 JALAN GERTAK MERAH 80000 JOHOR BAHRU JOHOR,TABUNG PENGURUSAN RUMAH IBADAT (TPRI),2026-01-01,2035-12-31,approved,,Religious Organizations
8104,TABUNG PEMBINAAN WAT BUDDHARAM KUCHING,"WAT BUDDHARAM KUCHINGLOT 8192, 2ND FLOORTOWN EAST JALAN PENDING 93450 KUCHING SARAWAK",TABUNG PEMBINAAN RUMAH IBADAT (TPBRI),2016-08-01,2019-07-31,rejected,,Religious Organizations
8107,TABUNG PEMBINAAN SJK (C) YUK CHIN TAWAU,"SJK (C) YUK CHIN TAWAUMILE 3.5, JALAN KUHARAPETI SURAT NO. 84 91007 TAWAU SABAH",TABUNG PEMBINAAN SEKOLAH (TPBS),2017-06-15,2020-06-14,rejected,,Educational
8113,PERSATUAN KEBAJIKAN SURIANA MALAYSIA (SURIANA WELFARE SOCIETY MALAYSIA),NO. 50 JALAN SELANGOR 46050 PETALING JAYA SELANGOR,INSTITUSI/ORGANISASI,2024-05-01,2029-04-30,approved,,Welfare/Social Services
8113,"PERSATUAN KEBAJIKAN SURIANA PETALING JAYA, SELANGOR","NO. 298, JALAN 5/55PETALING GARDEN 46000 PETALING JAYA SELANGOR",INSTITUSI/ORGANISASI,2019-05-01,2024-04-30,rejected,,Welfare/Social Services
8114,YAYASAN AMANAH RAYA,"TINGKAT 9, WISMA AMANAHRAYA,NO. 2, JALAN AMPANG 50508 KUALA LUMPUR WP KUALA LUMPUR",INSTITUSI/ORGANISASI,2023-07-01,2028-06-30,approved,,Others
8114,YAYASAN AMANAH RAYA,"TINGKAT 9, WISMA AMANAHRAYA,NO. 2, JALAN AMPANG 50508 KUALA LUMPUR WP KUALA LUMPUR",INSTITUSI/ORGANISASI,2018-07-01,2023-06-30,rejected,,Others
8114,YAYASAN AMANAHRAYA,"LEVEL 9, WISMA AMANAHARAYANO. 2, JALAN AMPANG 50508 KUALA LUMPUR WP KUALA LUMPUR",INSTITUSI/ORGANISASI,2018-07-01,2023-06-30,rejected,,Others
8119,"TABUNG PEMBINAAN CHURCH OF IMMACULATE CONCEPTION, PULAU TIKUS, PENANG","PARISH BUILDING FUND COMMITTEE,CHURCH OF IMMACULATE CONCEPTION 1, LORONG MAKTAB, 10250 Pulau Tikus PULAU PINANG",TABUNG PEMBINAAN RUMAH IBADAT (TPBRI),2016-06-01,2019-05-31,rejected,,Religious Organizations
